year,state,D_partisan_id,R_partisan_id,D_id2p,R_id2p
2000,Alaska,"76,561","116,059",0.397471706,0.602528294
2000,Arizona,"830,904","942,078",0.468647736,0.531352264
2000,California,"7,134,588","5,485,467",0.565337314,0.434662686
2000,Colorado,"854,409","1,014,960",0.457057435,0.542942565
2000,Connecticut,"701,017","485,593",0.590772874,0.409227126
2000,Delaware,"214,515","171,447",0.555793057,0.444206943
2000,District of Columbia,"271,380","26,485",0.91108388,0.08891612
2000,Florida,"3,803,081","3,430,238",0.525772609,0.474227391
2000,Iowa,"567,180","591,717",0.489413641,0.510586359
2000,Kansas,"449,297","734,771",0.379452025,0.620547975
2000,Kentucky,"1,539,562","846,621",0.645198629,0.354801371
2000,Louisiana,"1,668,872","613,107",0.731326625,0.268673375
2000,Maine,"280,987","265,889",0.51380386,0.48619614
2000,Maryland,"1,547,111","805,893",0.65750462,0.34249538
2000,Massachusetts,"1,460,881","546,333",0.72781527,0.27218473
2000,Nebraska,"392,344","537,605",0.421898405,0.578101595
2000,Nevada,"365,593","366,431",0.499427614,0.500572386
2000,New Hampshire,"224,564","302,138",0.426358738,0.573641262
2000,New Jersey,"1,179,577","876,386",0.573734547,0.426265453
2000,New Mexico,"508,414","318,282",0.614995113,0.385004887
2000,New York,"5,243,617","3,171,044",0.623152495,0.376847505
2000,North Carolina,"2,588,137","1,765,476",0.594480263,0.405519737
2000,Oklahoma,"1,233,999","797,949",0.607298514,0.392701486
2000,Oregon,"751,414","679,975",0.524954432,0.475045568
2000,Pennsylvania,"3,736,304","3,250,764",0.534745619,0.465254381
2000,South Dakota,"181,129","226,906",0.443905547,0.556094453
2000,West Virginia,"659,833","309,970",0.680378386,0.319621614
2000,Wyoming,"63,994","133,927",0.323331026,0.676668974
2000,United States,"38,529,264","28,813,511",0.572136566,0.427863434
2004,Alaska,"71,506","118,008",0.377312494,0.622687506
2004,Arizona,"914,264","1,055,252",0.46420745,0.53579255
2004,California,"7,120,425","5,745,518",0.553432034,0.446567966
2004,Colorado,"947,866","1,125,374",0.457190677,0.542809323
2004,Connecticut,"670,356","438,554",0.60451795,0.39548205
2004,Delaware,"242,598","181,875",0.571527518,0.428472482
2004,District of Columbia,"286,084","30,179",0.904576255,0.095423745
2004,Florida,"4,261,249","3,892,492",0.522612749,0.477387251
2004,Iowa,"598,296","604,277",0.497513249,0.502486751
2004,Kansas,"428,728","730,049",0.369983181,0.630016819
2004,Kentucky,"1,614,300","997,525",0.618073569,0.381926431
2004,Louisiana,"1,593,488","678,275",0.701432324,0.298567676
2004,Maine,"297,831","274,727",0.520176122,0.479823878
2004,Maryland,"1,627,217","870,068",0.651594432,0.348405568
2004,Massachusetts,"1,526,711","532,319",0.741470984,0.258529016
2004,Nebraska,"396,767","575,781",0.407966496,0.592033504
2004,Nevada,"429,808","434,239",0.497435903,0.502564097
2004,New Hampshire,"228,766","266,770",0.461653644,0.538346356
2004,New Jersey,"1,163,224","884,801",0.567973535,0.432026465
2004,New Mexico,"550,519","359,563",0.604911426,0.395088574
2004,New York,"5,534,574","3,209,082",0.632981673,0.367018327
2004,North Carolina,"2,583,087","1,905,446",0.575485799,0.424514201
2004,Oklahoma,"1,101,072","816,933",0.574071496,0.425928504
2004,Oregon,"791,412","721,070",0.52325383,0.47674617
2004,Pennsylvania,"3,966,293","3,386,434",0.539431561,0.460568439
2004,Rhode Island,"254,418","68,083",0.788890577,0.211109423
2004,South Dakota,"191,588","238,705",0.445250097,0.554749903
2004,Utah,"95,928","413,219",0.188409241,0.811590759
2004,West Virginia,"680,464","349,193",0.660864735,0.339135265
2004,Wyoming,"62,385","146,328",0.298903279,0.701096721
2004,United States,"40,231,224","31,050,139",0.564400319,0.435599681
2008,Alaska,"77,036","127,446",0.376737317,0.623262683
2008,Arizona,"1,022,252","1,118,587",0.477500643,0.522499357
2008,California,"7,683,495","5,428,052",0.586009797,0.413990203
2008,Colorado,"902,444","892,791",0.502688506,0.497311494
2008,Connecticut,"779,784","427,020",0.646156294,0.353843706
2008,Delaware,"280,347","181,789",0.606633112,0.393366888
2008,District of Columbia,"321,027","30,465",0.913326619,0.086673381
2008,Florida,"4,722,076","4,064,301",0.537431526,0.462568474
2008,Iowa,"698,839","592,397",0.541217097,0.458782903
2008,Kansas,"451,577","751,125",0.375468736,0.624531264
2008,Kentucky,"1,662,093","1,053,871",0.611971661,0.388028339
2008,Louisiana,"1,442,468","697,694",0.673999445,0.326000555
2008,Maine,"310,950","258,147",0.546391916,0.453608084
2008,Maryland,"1,946,823","927,798",0.677245105,0.322754895
2008,Massachusetts,"1,559,464","490,259",0.760816949,0.239183051
2008,Nebraska,"392,943","558,465",0.413012083,0.586987917
2008,Nevada,"531,317","430,594",0.552355675,0.447644325
2008,New Hampshire,"263,217","268,108",0.495397356,0.504602644
2008,New Jersey,"1,782,556","1,055,403",0.628111964,0.371888036
2008,New Mexico,"596,938","378,351",0.612062681,0.387937319
2008,New York,"5,831,445","3,054,520",0.656253429,0.343746571
2008,North Carolina,"2,870,862","2,004,704",0.588826405,0.411173595
2008,Oklahoma,"1,079,373","859,872",0.556594448,0.443405552
2008,Oregon,"914,542","686,656",0.571161093,0.428838907
2008,Pennsylvania,"4,480,691","3,243,391",0.58009366,0.41990634
2008,Rhode Island,"265,947","67,387",0.797839404,0.202160596
2008,South Dakota,"204,413","241,528",0.458385751,0.541614249
2008,Utah,"118,037","549,928",0.176711355,0.823288645
2008,West Virginia,"675,305","353,437",0.656437669,0.343562331
2008,Wyoming,"65,640","150,504",0.303686431,0.696313569
2008,United States,"43,933,901","30,944,590",0.586735929,0.413264071
2012,Alaska,"73,468","137,666",0.347968589,0.652031411
2012,Arizona,"952,931","1,120,992",0.459482343,0.540517657
2012,California,"7,966,422","5,356,608",0.597943711,0.402056289
2012,Colorado,"887,470","925,785",0.489434746,0.510565254
2012,Connecticut,"767,693","430,439",0.640741588,0.359258412
2012,Delaware,"300,332","181,717",0.623032098,0.376967902
2012,District of Columbia,"354,658","30,483",0.920852363,0.079147637
2012,Florida,"4,781,978","4,245,991",0.529684805,0.470315195
2012,Idaho,"36,220","196,271",0.155790977,0.844209023
2012,Iowa,"628,043","629,443",0.499443334,0.500556666
2012,Kansas,"446,237","790,345",0.36086325,0.63913675
2012,Kentucky,"1,665,853","1,151,331",0.591318494,0.408681506
2012,Louisiana,"1,429,073","815,769",0.636602932,0.363397068
2012,Maine,"297,445","258,463",0.535061557,0.464938443
2012,Maryland,"2,059,544","959,858",0.682103277,0.317896723
2012,Massachusetts,"1,551,693","484,099",0.76220606,0.23779394
2012,Nebraska,"374,191","558,170",0.401337036,0.598662964
2012,Nevada,"526,986","436,799",0.546787925,0.453212075
2012,New Hampshire,"224,915","258,714",0.465056893,0.534943107
2012,New Jersey,"1,787,480","1,084,757",0.62233026,0.37766974
2012,New Mexico,"596,209","395,992",0.600895383,0.399104617
2012,New York,"5,913,035","2,873,360",0.672976232,0.327023768
2012,North Carolina,"2,871,249","2,052,608",0.583130054,0.416869946
2012,Oklahoma,"965,073","895,771",0.51862112,0.48137888
2012,Oregon,"878,460","688,504",0.560612752,0.439387248
2012,Pennsylvania,"3,877,434","2,890,368",0.572923676,0.427076324
2012,Rhode Island,"299,037","77,177",0.794858777,0.205141223
2012,South Dakota,"189,493","243,113",0.43802675,0.56197325
2012,Utah,"120,929","614,730",0.164381867,0.835618133
2012,West Virginia,"638,086","353,179",0.643708796,0.356291204
2012,Wyoming,"51,109","160,361",0.2416844,0.7583156
2012,United States,"43,512,746","31,298,863",0.581630934,0.418369066
2016,Alaska,"78,560","143,852",0.353218352,0.646781648
2016,Arizona,"1,091,323","1,239,614",0.468190689,0.531809311
2016,Arkansas,"80,517","80,886",0.498856899,0.501143101
2016,California,"8,720,417","5,048,398",0.633345499,0.366654501
2016,Colorado,"1,040,948","1,031,512",0.502276522,0.497723478
2016,Connecticut,"790,188","452,243",0.636001516,0.363998484
2016,Delaware,"320,852","189,399",0.628812094,0.371187906
2016,District of Columbia,"363,642","29,862",0.924112588,0.075887412
2016,Florida,"4,877,749","4,550,311",0.517365078,0.482634922
2016,Idaho,"86,493","392,530",0.180561267,0.819438733
2016,Iowa,"629,081","662,167",0.487188364,0.512811636
2016,Kansas,"403,973","754,230",0.348792915,0.651207085
2016,Kentucky,"1,693,778","1,338,054",0.55866486,0.44133514
2016,Louisiana,"1,344,741","898,448",0.599477351,0.400522649
2016,Maine,"324,820","267,586",0.548306398,0.451693602
2016,Maryland,"2,170,800","1,026,633",0.678919621,0.321080379
2016,Massachusetts,"1,549,828","484,508",0.76183482,0.23816518
2016,Nebraska,"369,538","581,088",0.388731215,0.611268785
2016,Nevada,"577,679","488,861",0.541638382,0.458361618
2016,New Hampshire,"271,455","295,687",0.478636744,0.521363256
2016,New Jersey,"2,073,739","1,211,392",0.631250017,0.368749983
2016,New Mexico,"599,813","399,930",0.599967192,0.400032808
2016,New York,"6,179,734","2,839,704",0.685157324,0.314842676
2016,North Carolina,"2,725,054","2,079,619",0.567167422,0.432832578
2016,Oklahoma,"856,717","983,932",0.465442895,0.534557105
2016,Oregon,"987,449","715,623",0.579804612,0.420195388
2016,Pennsylvania,"4,217,187","3,302,106",0.560848872,0.439151128
2016,Rhode Island,"319,729","92,709",0.775217124,0.224782876
2016,South Dakota,"170,690","252,111",0.403712385,0.596287615
2016,Utah,"155,905","662,535",0.190490445,0.809509555
2016,West Virginia,"572,467","396,600",0.590740372,0.409259628
2016,Wyoming,"45,959","160,202",0.222927712,0.777072288
2016,United States,"45,690,825","33,052,332",0.580251373,0.419748627
2024,Alaska,"74,961","142,955",0.343990345,0.656009655
2024,Arizona,"1,200,191","1,436,757",0.455143977,0.544856023
2024,California,"10,323,214","5,332,858",0.659374459,0.340625541
2024,Colorado,"1,020,417","903,184",0.530472276,0.469527724
2024,Connecticut,"800,492","460,789",0.634665867,0.365334133
2024,Delaware,"353,229","206,596",0.630963247,0.369036753
2024,Florida,"4,362,147","5,141,848",0.458980355,0.541019645
2024,Idaho,"126,235","579,391",0.178897886,0.821102114
2024,Iowa,"466,945","612,144",0.43272149,0.56727851
2024,Kansas,"506,302","870,153",0.367830405,0.632169595
2024,Kentucky,"1,520,663","1,611,760",0.48545902,0.51454098
2024,Louisiana,"1,142,584","1,011,247",0.530489161,0.469510839
2024,Maine,"343,488","279,936",0.550970126,0.449029874
2024,Maryland,"2,221,517","989,200",0.691906823,0.308093177
2024,Massachusetts,"1,386,550","421,333",0.766946755,0.233053245
2024,Nebraska,"332,066","602,197",0.355430965,0.644569035
2024,Nevada,"595,943","559,743",0.515661694,0.484338306
2024,New Hampshire,"260,281","304,375",0.460954989,0.539045011
2024,New Jersey,"2,496,518","1,549,728",0.6169961,0.3830039
2024,New Mexico,"577,707","413,341",0.582925348,0.417074652
2024,New York,"5,886,085","2,696,999",0.685777397,0.314222603
2024,North Carolina,"2,417,491","2,239,481",0.519112204,0.480887796
2024,Oklahoma,"652,611","1,190,626",0.35405702,0.64594298
2024,Oregon,"994,213","718,730",0.580412191,0.419587809
2024,Pennsylvania,"3,893,342","3,475,267",0.528368651,0.471631349
2024,Rhode Island,"283,241","99,304",0.740412239,0.259587761
2024,South Dakota,"145,518","300,964",0.325921314,0.674078686
2024,Utah,"229,252","887,289",0.205323405,0.794676595
2024,West Virginia,"365,224","469,995",0.437279324,0.562720676
2024,Wyoming,"23,236","177,598",0.115697541,0.884302459